id,firstName,lastName,email
s1,Munroe,Lemmens,s1@studenti.polito.it
s2,Iago,Harrowing,s2@studenti.polito.it
s3,Fraser,Pelos,s3@studenti.polito.it
s4,Horton,Malmar,s4@studenti.polito.it
s5,Lena,Beek,s5@studenti.polito.it
s6,Terrence,Bodycomb,s6@studenti.polito.it
s7,Robinia,Cruddas,s7@studenti.polito.it
s8,Lianna,Kalisch,s8@studenti.polito.it
s9,Livvie,MacGray,s9@studenti.polito.it
s10,Benito,Trouel,s10@studenti.polito.it
s11,Ashby,Spellworth,s11@studenti.polito.it
s12,Shermy,Raiman,s12@studenti.polito.it
s13,Benton,Carne,s13@studenti.polito.it
s14,Elianore,Kropp,s14@studenti.polito.it
s15,Brion,Booi,s15@studenti.polito.it
s16,Celina,Ganford,s16@studenti.polito.it
s17,Lexis,Pietsma,s17@studenti.polito.it
s18,Brynne,Scherer,s18@studenti.polito.it
s19,Nelly,Vassie,s19@studenti.polito.it
s20,Devlin,Orfeur,s20@studenti.polito.it
s21,Benita,Scranny,s21@studenti.polito.it
s22,Barry,Tondeur,s22@studenti.polito.it
s23,Tabbie,Pluck,s23@studenti.polito.it
s24,Thomas,Palethorpe,s24@studenti.polito.it
s25,Emalia,Shakesby,s25@studenti.polito.it
s26,Hubie,Handscomb,s26@studenti.polito.it
s27,Valenka,Rickert,s27@studenti.polito.it
s28,Dolf,Frame,s28@studenti.polito.it
s29,Leroy,Swadden,s29@studenti.polito.it
s30,Reta,Crevagh,s30@studenti.polito.it
s31,Stanley,Gronowe,s31@studenti.polito.it
s32,Darrel,Visick,s32@studenti.polito.it
s33,Bette,Wace,s33@studenti.polito.it
s34,Celestine,Farthin,s34@studenti.polito.it
s35,Kassi,Dunabie,s35@studenti.polito.it
s36,Sosanna,Neathway,s36@studenti.polito.it
s37,Loreen,Syrett,s37@studenti.polito.it
s38,Nikolai,Hebbard,s38@studenti.polito.it
s39,Caye,Rakes,s39@studenti.polito.it
s40,Meggie,O'Hartnedy,s40@studenti.polito.it
s41,Brok,Prate,s41@studenti.polito.it
s42,Cassi,Blaw,s42@studenti.polito.it
s43,Gael,Graysmark,s43@studenti.polito.it
s44,Danice,Wooland,s44@studenti.polito.it
s45,Claudetta,Deem,s45@studenti.polito.it
s46,Bobby,Jedrzej,s46@studenti.polito.it
s47,Englebert,Coaker,s47@studenti.polito.it
s48,Herminia,Newns,s48@studenti.polito.it
s49,Ricki,Arnout,s49@studenti.polito.it
s50,Theobald,Asee,s50@studenti.polito.it
s51,Antin,Jerred,s51@studenti.polito.it
s52,Lenard,Ruthen,s52@studenti.polito.it
s53,Joellyn,Dankersley,s53@studenti.polito.it
s54,Judi,Measom,s54@studenti.polito.it
s55,Bethanne,Wynne,s55@studenti.polito.it
s56,Layton,Curl,s56@studenti.polito.it
